family,title,section_ref,rate_type,rate_value,rate_min,rate_max,base,taxpayer_type,applicability,conditions,effective_from,effective_to,reference_sro,source_url,status,verified_by,verified_at,notes
tds,Contractor / sub-contractor payments,89,percent,7.5000,,,Gross payment,resident,"Payments to resident contractors, sub-contractors and suppliers for works","Excludes cases covered by specific annexure entries; check annexure mapping",2025-07-01,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,VERIFY,,"","Verify against the current FY SRO/Annexure before publishing. Do not guess."
tds,Professional / advisory service fees,90,percent,10.0000,,,Gross payment,any,"Payments for professional, advisory, technical or specialist services","See Annexure 2 for service-specific rates",2025-07-01,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,VERIFY,,"","Service list varies by annexure entry — map each service explicitly."
tds,Rental income,109,percent,VERIFY,,,Gross rent,any,"Deduction from rental income / house property payments","Landlord/tenant and commercial/residential variations may apply",YYYY-MM-DD,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,DRAFT,,"","Verify current rate and any exemption thresholds."
tds,Contractor - manufacturing / construction works,,percent,VERIFY,,,Gross payment,any,"Manufacturing, process, conversion, construction or similar works",,YYYY-MM-DD,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,DRAFT,,"",""
vds,Deduction on specified services,,percent,VERIFY,,,Gross bill,any,"Local VAT deduction on services specified by NBR for VDS","Service-specific rates; some services are excluded",YYYY-MM-DD,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,DRAFT,,"","One row per service category — never a single blanket rate."
vat,Standard VAT rate,15,percent,15.0000,,,Taxable supply / import,any,"Standard rate on taxable supplies and imports",,2019-07-01,,,ENTER_NBR_SOURCE_URL,VERIFY,,"","VAT & Supplementary Duty Act 2012."
vat,Turnover tax (enlisted),,percent,VERIFY,,,Annual turnover,small_business,"Enlisted suppliers below the VAT registration threshold","Input tax credit not available under this regime",YYYY-MM-DD,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,DRAFT,,"","Verify turnover bands and rate for the current FY."
vat,Reduced / truncated rate schedule,,table,,,,"Varies by sector","Varies","Sector-specific reduced rates (e.g. 5%, 7.5%, 10%) for specified goods and services","Populate rate_table JSON with sector, rate, conditions per entry",YYYY-MM-DD,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,DRAFT,,"","Use rate_type=table and fill the rate_table JSON column."
income_tax,Individual income tax slabs,,table,,,,"Taxable income","individual","Progressive slab structure for individuals","Populate tax_slabs table; include surcharge and rebate rules separately",FY_START_DATE,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,DRAFT,,"","Slabs belong in the tax_slabs table, not here."
income_tax,Minimum tax rule,,percent,VERIFY,,,Taxable income,any,"Floor tax payable irrespective of profit","Depends on location and business type",FY_START_DATE,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,DRAFT,,"",""
corporate_tax,Private limited company (not listed),,percent,VERIFY,,,Taxable income,company,"Standard corporate rate for unlisted private companies","Rate may increase if banking-channel/TIN/return conditions are unmet",FY_START_DATE,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,DRAFT,,"","Model conditional rate increases in the conditions JSON."
corporate_tax,Publicly traded company,,percent,VERIFY,,,Taxable income,company,"Listed companies",,FY_START_DATE,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,DRAFT,,"",""
corporate_tax,Bank / insurance / financial institution,,percent,VERIFY,,,Taxable income,financial_institution,"Banking, insurance and NBFIs (listed vs not listed may differ)",,FY_START_DATE,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,DRAFT,,"",""
ait,Advance income tax on import,,percent,VERIFY,,,Import value (CIF + duties),any,"Deduction at the import stage","Rates vary by category and importer type",YYYY-MM-DD,,ENTER_SRO_NUMBER_HERE,ENTER_NBR_SOURCE_URL,DRAFT,,"",""
